見積タイトル,見積番号,顧客名,工事分類,工事項目,見積金額,粗利率,提出日,受注結果,備考
土浦寮_換気更新_20240315,EST-0001,株式会社伝元,換気,1Fトイレ 換気交換 phi100 x2 / 2Fトイレ 換気交換 phi100 x2,242000,32,2024-03-15,受注,
つくばマンション_照明LED化_20240402,EST-0002,ひたち不動産管理株式会社,照明,共用廊下 ダウンライト交換 x24 / エントランス シーリング交換 x2,385000,28,2024-04-02,受注,一括LED化案件
水戸オフィス_LAN配線_20240420,EST-0003,日立総合設備株式会社,LAN,各室 LAN新設 1点 x12 / 配線モール x30m,198000,35,2024-04-20,受注,
個人宅_コンセント増設_20240508,EST-0004,個人 田中様,コンセント,リビング コンセント新設 2口 x2 / 寝室 コンセント新設 2口 x1,59400,40,2024-05-08,受注,
龍ケ崎アパート_分電盤更新_20240522,EST-0005,龍ケ崎不動産管理,分電盤,分電盤交換 20+2 x1 / 子メーター新設 x4,253000,30,2024-05-22,失注,他社値下げで失注
古河工場_防犯カメラ_20240610,EST-0006,古河電設株式会社,防犯カメラ,駐車場 固定式新設 x4 / 録画機8ch x1 / モニター x1,385000,33,2024-06-10,受注,
土浦市役所付属_エアコン_20240625,EST-0007,つくば市役所（施設管理課）,エアコン,会議室 エアコン交換 10畳 x2 / 12畳 x1,462000,25,2024-06-25,保留,予算待ち
北茨城寮_換気扇_20240712,EST-0008,株式会社北茨城工務店,換気,脱衣所 換気交換 phi150 x3 / 1Fトイレ 換気交換 phi100 x2,198000,32,2024-07-12,受注,
アーバンホーム_スイッチ更新_20240728,EST-0009,株式会社アーバンホーム,スイッチ,全室 スイッチ交換 1口 x8 / 2口 x4,118800,38,2024-07-28,見積のみ（未回答）,
常陸テラス_WiFi設置_20240805,EST-0010,株式会社スマートホーム茨城,Wi-Fi,共用部 メッシュWiFi新設 3台 / LAN新設 4点,143000,35,2024-08-05,受注,
千葉倉庫_照明更新_20240820,EST-0011,株式会社千葉電工,照明,倉庫 直管40W交換 x20 / 非常灯交換 x4,165000,30,2024-08-20,受注,
水戸マンション_インターホン_20240903,EST-0012,水戸ハウジング株式会社,インターホン,エントランス カメラ付1世帯新設 x1 / モニター交換 x8,528000,28,2024-09-03,受注,
個人宅_アンテナ_20240918,EST-0013,個人 佐藤様,アンテナ,屋根 UHF+BS/CS新設 x1 / 地デジブースター新設 x1,85800,42,2024-09-18,受注,
つくば電設_EV充電_20241002,EST-0014,株式会社つくば電設,EV,200V専用新設 x2 / 分電盤増設込 x1,605000,30,2024-10-02,失注,配線ルート問題で失注
土浦寮_追加照明_20241015,EST-0015,株式会社伝元,照明,2F廊下 ダウンライト新設 x6 / 人感センサー付交換 x2,158400,32,2024-10-15,受注,EST-0001の追加案件
プロパティリンク_換気_20241028,EST-0016,株式会社プロパティリンク,換気,1Fトイレ 換気交換 phi100 x1 / 2Fトイレ 換気交換 phi100 x1,121000,35,2024-10-28,見積のみ（未回答）,
日立工場_LAN増設_20241110,EST-0017,日立総合設備株式会社,LAN,事務所 LAN新設 2点 x6 / Cat6 20m x6,198000,33,2024-11-10,受注,
TOMS協力店_分電盤_20241122,EST-0018,株式会社TOMS協力店A,分電盤,分電盤交換 30+2 x1,198000,28,2024-11-22,受注,
ライフサポート_コンセント_20241205,EST-0019,株式会社ライフサポートつくば,コンセント,共用部 防水2口新設 x4 / 2口交換 x6,178200,32,2024-12-05,保留,オーナー確認中
土浦マンション_カメラ_20241218,EST-0020,ひたち不動産管理株式会社,防犯カメラ,駐車場 固定式新設 x2 / エントランス ドーム型新設 x1 / 録画機4ch x1,198000,30,2024-12-18,受注,
個人宅_エアコン_20250108,EST-0021,個人 田中様,エアコン,リビング エアコン交換 6畳 x1,102000,38,2025-01-08,受注,
北茨城_スイッチ照明_20250122,EST-0022,株式会社北茨城工務店,照明,全室 シーリング交換 x5 / スイッチ交換 1口 x5,88000,35,2025-01-22,見積のみ（未回答）,
つくば市_公共施設_20250205,EST-0023,つくば市役所（施設管理課）,分電盤,分電盤交換 40+2 x1 / 漏電ブレーカー交換 x2,385000,22,2025-02-05,受注,公共入札案件
古河_換気更新_20250218,EST-0024,古河電設株式会社,換気,屋根裏 24時間換気交換 x1 / 1Fトイレ 換気交換 phi100 x3,253000,30,2025-02-18,受注,
スマートホーム_IoT_20250303,EST-0025,株式会社スマートホーム茨城,LAN,全室 LAN新設 1点 x8 / WiFi AP新設 x2 / カメラ固定式新設 x2,385000,33,2025-03-03,受注,IoTパッケージ
千葉電工_EV_20250315,EST-0026,株式会社千葉電工,EV,100V普通新設 x1 / 配線のみ,143000,32,2025-03-15,失注,200V不可で失注
水戸_インターホン_20250328,EST-0027,水戸ハウジング株式会社,インターホン,カメラ付2世帯新設 x1 / チャイム交換 x12,660000,27,2025-03-28,保留,大規模案件・見積再検討中
伝元_土浦寮Phase2_20250410,EST-0028,株式会社伝元,換気,1Fトイレ レンジフード交換 x1 / 2F 排気ファン交換 x2 / 廊下 照明交換 x3,165000,32,2025-04-10,受注,Phase2追加工事
常陸工務_その他_20250422,EST-0029,常陸工務店,その他,漏電ブレーカー交換 x1 / アース棒新設 x1 / ブレーカー20A交換 x2,60500,40,2025-04-22,見積のみ（未回答）,
日立_防犯強化_20250505,EST-0030,日立総合設備株式会社,防犯カメラ,外壁 固定式新設 x6 / PTZ式新設 x1 / 録画機16ch x1,880000,28,2025-05-05,受注,大規模防犯案件
